iter	Passed	Remaining
0	1	101
1	1	88
2	2	81
3	3	74
4	3	72
5	4	71
6	5	70
7	6	69
8	6	69
9	7	71
10	8	70
11	9	69
12	10	69
13	11	69
14	12	68
15	13	68
16	13	67
17	14	67
18	15	66
19	16	66
20	17	66
21	18	65
22	19	64
23	20	64
24	21	63
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	59
31	27	58
32	28	57
33	29	57
34	30	56
35	31	56
36	32	55
37	33	54
38	34	53
39	35	53
40	36	52
41	36	50
42	37	50
43	38	49
44	39	48
45	40	47
46	41	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	78	13
85	79	12
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	88	4
95	89	3
96	90	2
97	91	1
98	92	0
99	93	0
