iter	Passed	Remaining
0	133	133422
1	135	67582
2	137	45617
3	139	34626
4	140	28039
5	142	23657
6	145	20654
7	147	18280
8	149	16433
9	151	14952
10	152	13733
11	154	12733
12	156	11880
13	159	11250
14	161	10623
15	163	10065
16	165	9554
17	166	9102
18	168	8693
19	169	8328
20	173	8103
21	175	7812
22	180	7660
23	186	7572
24	189	7408
25	191	7179
26	192	6941
27	193	6716
28	194	6506
29	195	6309
30	195	6122
31	196	5946
32	197	5784
33	198	5633
34	199	5490
35	199	5354
36	200	5225
37	201	5104
38	202	4987
39	203	4881
40	204	4777
41	205	4677
42	205	4581
43	206	4489
44	207	4402
45	208	4317
46	209	4238
47	209	4161
48	210	4091
49	211	4022
50	213	3964
51	213	3899
52	214	3836
53	215	3773
54	216	3715
55	217	3660
56	217	3605
57	218	3553
58	219	3505
59	220	3455
60	221	3407
61	222	3361
62	222	3315
63	223	3272
64	224	3231
65	225	3191
66	226	3153
67	227	3119
68	228	3081
69	229	3044
70	230	3010
71	230	2975
72	231	2942
73	232	2910
74	233	2878
75	234	2847
76	235	2819
77	236	2791
78	237	2763
79	237	2735
80	238	2707
81	239	2680
82	239	2651
83	240	2628
84	242	2607
85	243	2584
86	244	2561
87	244	2538
88	245	2515
89	246	2494
90	247	2473
91	248	2452
92	249	2432
93	250	2411
94	251	2391
95	251	2372
96	254	2367
97	255	2352
98	257	2338
99	257	2321
100	258	2303
101	259	2284
102	260	2266
103	261	2248
104	262	2233
105	262	2217
106	263	2201
107	264	2186
108	265	2171
109	266	2156
110	267	2141
111	268	2126
112	269	2112
113	270	2098
114	270	2084
115	272	2074
116	272	2060
117	273	2046
118	274	2034
119	276	2026
120	277	2014
121	278	2000
122	278	1988
123	279	1975
124	280	1963
125	281	1951
126	282	1939
127	283	1928
128	283	1917
129	284	1906
130	285	1895
131	287	1889
132	288	1878
133	288	1866
134	289	1855
135	290	1846
136	291	1836
137	292	1825
138	293	1815
139	293	1805
140	294	1794
141	295	1782
142	295	1772
143	296	1762
144	297	1752
145	298	1743
146	298	1734
147	299	1726
148	301	1719
149	301	1711
150	302	1702
151	303	1692
152	304	1684
153	305	1676
154	306	1669
155	307	1662
156	308	1655
157	309	1647
158	309	1639
159	310	1632
160	311	1623
161	312	1616
162	313	1608
163	314	1601
164	314	1594
165	316	1587
166	317	1581
167	317	1574
168	318	1567
169	319	1560
170	320	1554
171	321	1548
172	322	1542
173	323	1535
174	324	1528
175	325	1522
176	325	1515
177	326	1509
178	327	1503
179	328	1497
180	329	1491
181	330	1485
182	331	1480
183	332	1474
184	333	1468
185	334	1463
186	335	1457
187	336	1451
188	337	1446
189	338	1441
190	338	1435
191	339	1429
192	340	1424
193	341	1418
194	342	1413
195	343	1407
196	344	1402
197	345	1398
198	346	1393
199	347	1388
200	347	1383
201	348	1378
202	349	1372
203	350	1367
204	351	1362
205	352	1357
206	353	1352
207	353	1347
208	354	1342
209	355	1337
210	356	1332
211	357	1328
212	358	1323
213	359	1318
214	360	1314
215	360	1309
216	361	1305
217	362	1300
218	363	1295
219	364	1291
220	365	1286
221	365	1282
222	366	1277
223	367	1273
224	368	1268
225	369	1264
226	370	1260
227	370	1256
228	371	1251
229	372	1247
230	373	1243
231	374	1239
232	375	1236
233	376	1232
234	377	1228
235	378	1224
236	379	1220
237	379	1216
238	380	1212
239	381	1209
240	382	1205
241	383	1201
242	384	1197
243	385	1194
244	386	1190
245	387	1186
246	388	1182
247	388	1179
248	389	1176
249	390	1172
250	391	1168
251	392	1164
252	393	1161
253	394	1157
254	395	1154
255	395	1150
256	396	1147
257	397	1143
258	398	1140
259	399	1137
260	400	1133
261	401	1130
262	402	1126
263	402	1123
264	403	1120
265	404	1117
266	405	1114
267	406	1110
268	407	1107
269	408	1104
270	409	1100
271	410	1097
272	411	1094
273	411	1091
274	412	1088
275	413	1084
276	414	1081
277	415	1078
278	416	1075
279	417	1072
280	417	1069
281	420	1070
282	421	1067
283	424	1068
284	426	1070
285	428	1068
286	429	1066
287	431	1067
288	432	1065
289	434	1062
290	435	1061
291	436	1059
292	437	1056
293	440	1057
294	442	1058
295	444	1056
296	445	1053
297	446	1050
298	446	1047
299	447	1044
300	448	1042
301	449	1039
302	450	1036
303	451	1033
304	452	1031
305	453	1028
306	454	1026
307	455	1023
308	456	1020
309	457	1018
310	458	1015
311	459	1012
312	460	1009
313	460	1007
314	461	1004
315	462	1001
316	463	998
317	464	996
318	465	993
319	466	991
320	467	988
321	468	985
322	469	983
323	469	980
324	470	977
325	471	975
326	472	972
327	473	970
328	474	967
329	475	964
330	476	962
331	477	959
332	477	957
333	478	954
334	479	952
335	480	950
336	481	947
337	482	945
338	483	942
339	484	940
340	485	937
341	486	935
342	487	932
343	487	930
344	488	928
345	489	925
346	490	923
347	491	921
348	492	918
349	493	916
350	494	914
351	495	911
352	496	909
353	496	906
354	497	904
355	498	902
356	499	900
357	500	898
358	501	895
359	502	893
360	503	891
361	504	888
362	505	886
363	506	884
364	506	882
365	507	879
366	508	877
367	509	875
368	510	873
369	511	871
370	512	868
371	513	866
372	514	864
373	515	862
374	516	860
375	516	857
376	517	855
377	518	853
378	519	851
379	520	848
380	521	846
381	521	844
382	522	842
383	524	840
384	524	838
385	525	836
386	526	834
387	527	832
388	528	830
389	529	828
390	530	826
391	531	824
392	532	821
393	533	819
394	533	817
395	534	815
396	535	813
397	536	811
398	537	809
399	538	807
400	539	805
401	540	803
402	541	801
403	542	799
404	543	797
405	544	796
406	545	794
407	546	792
408	546	790
409	547	788
410	548	786
411	549	784
412	550	782
413	551	780
414	552	778
415	553	776
416	554	774
417	554	772
418	555	770
419	556	768
420	557	766
421	558	764
422	559	762
423	560	760
424	560	758
425	561	756
426	562	754
427	563	752
428	564	751
429	565	749
430	565	747
431	566	745
432	567	743
433	568	741
434	569	739
435	570	737
436	571	736
437	572	734
438	573	732
439	574	730
440	574	728
441	575	726
442	576	724
443	577	722
444	578	721
445	578	719
446	579	717
447	580	715
448	581	713
449	582	712
450	583	710
451	584	708
452	585	707
453	586	705
454	587	703
455	588	702
456	589	700
457	590	698
458	591	696
459	592	695
460	592	693
461	593	691
462	594	689
463	595	688
464	596	686
465	597	684
466	598	683
467	599	681
468	600	679
469	601	678
470	602	676
471	602	674
472	603	672
473	604	671
474	605	669
475	606	667
476	607	665
477	608	664
478	608	662
479	609	660
480	610	658
481	611	657
482	612	655
483	613	654
484	614	652
485	615	650
486	616	649
487	617	647
488	617	645
489	618	644
490	619	642
491	620	640
492	621	638
493	622	637
494	622	635
495	623	633
496	624	632
497	625	630
498	626	629
499	627	627
500	628	625
501	629	624
502	630	622
503	631	621
504	632	619
505	633	618
506	633	616
507	634	614
508	635	613
509	636	611
510	637	609
511	638	608
512	639	606
513	640	605
514	640	603
515	642	602
516	642	600
517	643	599
518	644	597
519	645	595
520	646	594
521	647	592
522	648	591
523	649	589
524	649	588
525	650	586
526	651	584
527	652	583
528	653	581
529	654	580
530	655	578
531	656	577
532	657	576
533	658	574
534	659	573
535	660	571
536	661	570
537	662	568
538	663	567
539	664	565
540	665	564
541	665	562
542	666	561
543	667	559
544	668	558
545	669	556
546	671	555
547	672	554
548	673	553
549	674	551
550	674	549
551	675	548
552	676	547
553	677	545
554	678	544
555	679	542
556	680	541
557	681	539
558	682	538
559	683	536
560	684	535
561	685	534
562	686	532
563	687	531
564	688	529
565	689	528
566	690	527
567	690	525
568	691	524
569	692	522
570	693	521
571	694	519
572	695	518
573	696	516
574	697	515
575	698	513
576	699	512
577	699	511
578	700	509
579	701	508
580	702	506
581	703	505
582	704	504
583	705	502
584	706	501
585	707	499
586	708	498
587	709	496
588	709	495
589	710	493
590	711	492
591	712	491
592	713	489
593	714	488
594	715	486
595	716	485
596	717	484
597	717	482
598	718	481
599	719	479
600	720	478
601	721	476
602	722	475
603	723	474
604	724	472
605	724	471
606	725	469
607	726	468
608	727	467
609	728	465
610	729	464
611	730	462
612	731	461
613	731	460
614	732	458
615	733	457
616	734	456
617	735	454
618	736	453
619	737	451
620	738	450
621	739	449
622	740	447
623	740	446
624	741	445
625	742	443
626	743	442
627	744	441
628	745	439
629	746	438
630	747	437
631	748	435
632	749	434
633	750	433
634	751	431
635	752	430
636	753	429
637	754	427
638	754	426
639	755	425
640	756	423
641	757	422
642	758	421
643	759	419
644	760	418
645	761	417
646	761	415
647	762	414
648	763	413
649	764	411
650	765	410
651	766	409
652	767	407
653	768	406
654	768	404
655	769	403
656	770	402
657	771	400
658	772	399
659	773	398
660	774	397
661	775	395
662	775	394
663	776	393
664	777	391
665	778	390
666	779	389
667	780	387
668	781	386
669	782	385
670	783	384
671	784	382
672	784	381
673	785	380
674	786	378
675	787	377
676	788	376
677	789	374
678	790	373
679	791	372
680	792	371
681	792	369
682	793	368
683	794	367
684	795	365
685	796	364
686	797	363
687	798	362
688	799	360
689	800	359
690	800	358
691	801	356
692	802	355
693	803	354
694	804	353
695	805	351
696	806	350
697	807	349
698	808	347
699	809	346
700	810	345
701	811	344
702	811	343
703	812	341
704	813	340
705	814	339
706	815	337
707	816	336
708	817	335
709	818	334
710	819	332
711	820	331
712	821	330
713	821	329
714	822	327
715	823	326
716	824	325
717	825	324
718	826	323
719	827	321
720	828	320
721	829	319
722	829	317
723	830	316
724	831	315
725	832	314
726	833	313
727	834	311
728	835	310
729	836	309
730	837	308
731	838	306
732	838	305
733	839	304
734	840	303
735	841	301
736	842	300
737	843	299
738	844	298
739	844	296
740	845	295
741	846	294
742	847	293
743	848	291
744	849	290
745	850	289
746	851	288
747	852	287
748	853	285
749	853	284
750	854	283
751	855	282
752	856	280
753	857	279
754	858	278
755	859	277
756	860	276
757	860	274
758	861	273
759	862	272
760	863	271
761	864	270
762	865	268
763	866	267
764	867	266
765	868	265
766	869	264
767	870	262
768	871	261
769	872	260
770	873	259
771	874	258
772	874	256
773	875	255
774	876	254
775	877	253
776	878	252
777	879	251
778	880	249
779	881	248
780	882	247
781	883	246
782	884	245
783	884	243
784	885	242
785	886	241
786	887	240
787	888	239
788	889	237
789	890	236
790	891	235
791	892	234
792	893	233
793	894	231
794	895	230
795	895	229
796	896	228
797	897	227
798	898	226
799	899	224
800	900	223
801	901	222
802	902	221
803	903	220
804	904	219
805	905	217
806	906	216
807	907	215
808	908	214
809	909	213
810	909	212
811	910	210
812	911	209
813	912	208
814	913	207
815	914	206
816	915	205
817	916	203
818	917	202
819	918	201
820	918	200
821	919	199
822	920	198
823	921	196
824	922	195
825	923	194
826	924	193
827	925	192
828	926	191
829	927	189
830	928	188
831	929	187
832	930	186
833	931	185
834	932	184
835	933	183
836	934	181
837	935	180
838	935	179
839	937	178
840	938	177
841	938	176
842	939	175
843	940	173
844	941	172
845	942	171
846	943	170
847	944	169
848	945	168
849	946	166
850	947	165
851	947	164
852	948	163
853	949	162
854	950	161
855	952	160
856	953	159
857	953	157
858	954	156
859	955	155
860	956	154
861	957	153
862	958	152
863	959	150
864	960	149
865	960	148
866	961	147
867	962	146
868	963	145
869	964	144
870	966	143
871	967	141
872	967	140
873	968	139
874	969	138
875	970	137
876	971	136
877	972	135
878	973	134
879	974	132
880	975	131
881	976	130
882	977	129
883	978	128
884	979	127
885	980	126
886	982	125
887	983	124
888	984	122
889	986	121
890	987	120
891	988	119
892	989	118
893	990	117
894	991	116
895	992	115
896	993	114
897	994	113
898	997	112
899	998	110
900	1000	109
901	1001	108
902	1002	107
903	1003	106
904	1004	105
905	1005	104
906	1005	103
907	1006	102
908	1008	100
909	1009	99
910	1010	98
911	1011	97
912	1012	96
913	1013	95
914	1014	94
915	1015	93
916	1016	92
917	1017	90
918	1018	89
919	1019	88
920	1020	87
921	1021	86
922	1021	85
923	1022	84
924	1023	83
925	1024	81
926	1025	80
927	1027	79
928	1028	78
929	1028	77
930	1029	76
931	1030	75
932	1031	74
933	1032	72
934	1033	71
935	1034	70
936	1035	69
937	1036	68
938	1038	67
939	1039	66
940	1040	65
941	1041	64
942	1042	63
943	1043	61
944	1044	60
945	1045	59
946	1046	58
947	1047	57
948	1048	56
949	1049	55
950	1049	54
951	1050	52
952	1051	51
953	1052	50
954	1053	49
955	1054	48
956	1055	47
957	1057	46
958	1058	45
959	1059	44
960	1059	43
961	1060	41
962	1061	40
963	1062	39
964	1063	38
965	1064	37
966	1065	36
967	1066	35
968	1067	34
969	1068	33
970	1069	31
971	1070	30
972	1071	29
973	1072	28
974	1073	27
975	1073	26
976	1074	25
977	1075	24
978	1076	23
979	1077	21
980	1078	20
981	1079	19
982	1080	18
983	1081	17
984	1082	16
985	1082	15
986	1083	14
987	1085	13
988	1089	12
989	1091	11
990	1096	9
991	1099	8
992	1102	7
993	1107	6
994	1108	5
995	1110	4
996	1111	3
997	1112	2
998	1116	1
999	1119	0
